V1,V2
-0.228186662,0.946003146
0.705065654,0.049621983
0.250523048,-0.50836503
0.546311086,0.226304219
-0.312149843,-1.475944791
-1.06874875,-0.049114213
-2.61993285,-1.413870227
-2.425416773,-0.17577257
-2.113765434,-0.41266785
-1.40803825,0.216283361
-2.195655704,-0.786195101
-2.140431683,-0.047585135
-1.169277357,0.328834193
-1.983941493,-1.241025046
-0.729521519,0.759396118
2.189374888,2.772042135
0.141364847,-2.074582111
-0.311151375,-1.720337466
0.811385362,2.509702661
0.85717095,-0.041446188
-0.354268519,-1.763525064
-0.046675766,0.94387321
-0.768389285,-0.405595629
1.01363781,0.508026537
2.179371155,1.722866034
0.231616512,-1.92364857
-0.761206953,-1.835394176
-0.229959185,1.825659912
0.358092284,0.587708089
-0.388010955,-0.95106659
-1.693481554,-1.54608291
-1.191103891,0.841969071
-0.454324209,1.305144527
0.377696195,-0.129407186
-0.360032224,-1.151095196
-1.013943528,-0.073351523
-1.80028656,-0.918252929
-2.87104679,-1.741287354
-2.060936651,0.711537185
-2.627903589,-1.263877843
-0.797904141,0.352707505
0.939139952,2.462598384
-0.187873572,-1.400590686
-0.60646088,-0.891326796
0.187029434,0.931847973
-0.379247599,-0.464518282
1.213375236,1.048164545
-0.393878324,-0.518631746
0.882762248,0.183620292
0.437529442,0.208572431
0.841772101,0.140669649
1.100799096,0.021962922
-0.503949256,-0.582572885
0.208435471,1.06688556
0.92711791,-0.039478897
0.56245448,-0.159965627
0.260583587,0.235225091
1.938833715,2.907329127
-0.10667946,-2.248916694
0.787724072,0.537155608
-0.15227403,0.531248032
0.870753241,0.197503765
-0.038327428,-1.069374921
-0.515954123,-0.670107596
-0.530535397,-0.133277544
1.068927438,1.659990722
0.945053127,-0.735933985
0.799633132,0.038513884
1.152067074,1.072063962
0.179795914,-1.342833483
0.780859187,0.924275006
1.90666967,1.00057751
2.539082444,-0.555629524
0.826345355,0.176729215
0.682513022,0.578317311
1.2134759,-0.034172554
0.067196382,-0.816545687
-0.486482963,-0.666913628
-0.931507444,0.240870566
-1.497874699,-0.84578228
0.723171881,2.243510535
-0.365402978,-0.714908331
-0.276222713,-0.509402142
0.620141822,1.647923939
0.474456729,-0.066371683
1.915506489,1.099030978
0.104413396,-1.142686958
-0.53917771,-1.586662624
0.868654176,2.271837411
0.616077147,-0.780506786
2.331793851,1.000284879
1.243036055,-0.231519686
1.002890464,-1.080589356
1.392867713,1.075025567
0.418375159,0.018810452
0.509848165,-0.511046081
-0.223966419,-0.094541353
1.310842814,1.480830265
1.20201439,0.070189659
-0.560907754,-1.396233043
-0.115650841,1.068402869
1.050924572,1.572717091
0.064890973,-0.866143056
-0.560811999,-1.621387673
-1.025412033,0.102013472
-0.003175408,0.830328365
-1.358642726,-1.342793287
-1.376939635,-1.093563437
-0.570415276,1.442318613
-1.415887893,-0.769911062
-2.147306338,-2.467974177
-1.294635673,0.863806846
0.204402247,1.374026043
-0.23654209,-1.185268645
-0.209709469,-0.13717602
-0.249545121,0.690323385
0.403729234,0.102065517
2.662555012,2.152597557
0.998120289,-0.703020971
-0.941970591,-2.409161608
-0.394515463,0.995592324
-0.299692586,0.942474174
-0.763690674,-1.170253819
-0.527834686,-0.124727277
0.157923133,0.755954006
0.346156932,-0.143190431
1.667147917,1.196791675
1.348006379,0.469544102
-0.126461415,-0.978379985
-0.992567759,-0.293088989
-1.42169402,-0.187992959
-2.540150721,-1.702888111
-1.471421805,0.885848108
-1.363242862,0.521968902
-0.604198683,-0.48264131
0.816160838,0.855942016
1.481881712,0.995513487
1.098586911,0.197635118
-0.318509286,-1.273657729
-0.07441955,0.084572889
1.751643013,1.959506055
1.048577223,0.400699297
-1.105687917,-2.681887302
0.278285134,0.500564642
0.742513622,1.909700752
0.517517965,-0.642770704
0.627444619,0.098170178
0.635290085,1.169091607
2.185232243,1.349222398
1.23064002,-0.521572408
0.922061492,-0.619989125
0.747021631,1.188865772
-0.699021285,-0.423829104
0.402405066,0.644436577
0.874415272,0.630777472
-0.134810282,-1.452809719
0.514239107,0.550528218
-0.177358347,0.632376191
0.287924353,-0.557730814
-1.444874199,-1.402972778
-0.424189636,1.221502791
0.594249623,1.010449494
-1.483330491,-2.683361365
-2.151176367,-1.743054995
-1.447158272,1.129116176
0.762698254,1.195087846
-0.092903858,-0.925828166
1.201551921,0.853754551
0.388650012,0.290351375
0.362101004,0.192759855
-0.138146102,-0.365216459
1.109415374,1.953573066
0.262504912,-0.437081598
-0.793938666,-1.780684179
-0.999159581,0.683132779
1.232996386,2.511071105
-1.190573936,-3.043543405
-0.302635841,-0.67610516
-1.002058303,0.157708398
-1.694554231,-0.232948326
-0.004859536,0.74554114
0.425482946,0.23382218
1.102431426,0.903801394
0.499155435,-0.983909724
-0.706350484,-1.026254971
1.113435629,2.200718183
2.095311013,0.874769375
0.525552322,-2.019751915
-1.183185404,-0.47331059
-1.549060587,-0.155166029
-1.009981834,-0.043064377
-1.310609466,-0.542940653
-0.395013931,0.489474578
-0.827673265,-0.968827455
